Author,Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude
@BancoCiudad,"@EvelynRobotti Hola, escribinos por privado y empezá la consulta con nuestro asistente virtual. Si necesitás, podés pedir hablar con una persona de nuestro equipo.
Recordá que nunca te pediremos tus claves ni te contactaremos espontáneamente por redes o WhatsApp.",2022-06-14 19:34:27,es,,0.0,0.0,@EvelynRobotti,Banco Ciudad,Escribinos por Mensaje Directo y empezá la conversación con nuestro asistente virtual. Podés hablar con una persona del equipo de L a V de 8 a 20 horas.,8026.0,1172.0,12.0,81494.0,184.0,True,,
@BancoCiudad,"@ivlis24 Hola, escribinos por privado y empezá la consulta con nuestro asistente virtual. Si necesitás, podés pedir hablar con una persona de nuestro equipo.
Recordá que nunca te pediremos tus claves ni te contactaremos espontáneamente por redes o WhatsApp.",2022-06-14 15:46:14,es,,0.0,0.0,@ivlis24,Banco Ciudad,Escribinos por Mensaje Directo y empezá la conversación con nuestro asistente virtual. Podés hablar con una persona del equipo de L a V de 8 a 20 horas.,8026.0,1172.0,12.0,81494.0,184.0,True,,
@BancoCiudad,"@mflorciitav Hola, por seguridad iniciá tu consulta con nuestro asistente virtual por privado. Podés pedir hablar con una persona de nuestro equipo para asistirte online.
Recordá que nunca te pediremos tus claves ni te contactaremos espontáneamente por redes o WhatsApp.",2022-06-14 14:55:09,es,,0.0,0.0,@mflorciitav,Banco Ciudad,Escribinos por Mensaje Directo y empezá la conversación con nuestro asistente virtual. Podés hablar con una persona del equipo de L a V de 8 a 20 horas.,8026.0,1172.0,12.0,81494.0,184.0,True,,
@BancoCiudad,"@mflorciitav Hola, escribinos por privado y empezá la consulta con nuestro asistente virtual. Si necesitás, podés pedir hablar con una persona de nuestro equipo.
Recordá que nunca te pediremos tus claves ni te contactaremos espontáneamente por redes o WhatsApp.",2022-06-14 14:52:32,es,,0.0,0.0,@mflorciitav,Banco Ciudad,Escribinos por Mensaje Directo y empezá la conversación con nuestro asistente virtual. Podés hablar con una persona del equipo de L a V de 8 a 20 horas.,8026.0,1172.0,12.0,81494.0,184.0,True,,
@BancoCiudad,"@Hormigabite ¡Hola! Podés contactarnos online de Lunes a Viernes, en días hábiles, de 08 a 20 horas para ayudarte.
Recordá que nunca te pediremos tus claves, ni te contactaremos espontáneamente por redes sociales o WhatsApp. #ProtegéTuInformación",2022-06-14 00:13:47,es,,0.0,0.0,@Hormigabite,Banco Ciudad,Escribinos por Mensaje Directo y empezá la conversación con nuestro asistente virtual. Podés hablar con una persona del equipo de L a V de 8 a 20 horas.,8026.0,1172.0,12.0,81494.0,184.0,True,,
@BancoCiudad,"@BravissimaDe Por seguridad, unificamos nuestra atención en @bancociudad.
Escribinos por privado y empezá la conversación con nuestro asistente virtual.
Podés pedir hablar con una persona del equipo de lunes a viernes de 8 a 20 horas.
Nunca compartas tus claves, son privadas.",2022-06-13 20:29:08,es,,0.0,0.0,@BravissimaDe,Banco Ciudad,Escribinos por Mensaje Directo y empezá la conversación con nuestro asistente virtual. Podés hablar con una persona del equipo de L a V de 8 a 20 horas.,8026.0,1172.0,12.0,81494.0,184.0,True,,
@BancoCiudad,"@diediazcordova @ciiudad02 Hola Diego, escribinos por privado y empezá la consulta con nuestro asistente virtual. Si necesitás, podés pedir hablar con una persona de nuestro equipo.
Recordá que nunca te pediremos tus claves ni te contactaremos espontáneamente por redes o WhatsApp.",2022-06-13 15:22:03,es,,0.0,0.0,@diediazcordova,Banco Ciudad,Escribinos por Mensaje Directo y empezá la conversación con nuestro asistente virtual. Podés hablar con una persona del equipo de L a V de 8 a 20 horas.,8026.0,1172.0,12.0,81494.0,184.0,True,,
@BancoCiudad,"@LaCaritoErre Hola, contactanos por Mensaje Directo y empezá tu consulta con nuestro asistente virtual. Podés pedir hablar con una persona de nuestro equipo para asistirte.
Recordá que nunca te pediremos tus claves ni te contactaremos espontáneamente por redes o WhatsApp.",2022-06-13 13:33:51,es,,0.0,0.0,@LaCaritoErre,Banco Ciudad,Escribinos por Mensaje Directo y empezá la conversación con nuestro asistente virtual. Podés hablar con una persona del equipo de L a V de 8 a 20 horas.,8026.0,1172.0,12.0,81494.0,184.0,True,,
@BancoCiudad,"@JUMA9610 @MODO_Arg @mercadopago Hola, contactanos por Mensaje Directo y empezá tu consulta con nuestro asistente virtual. Podés pedir hablar con una persona de nuestro equipo para asistirte.
Recordá que nunca te pediremos tus claves ni te contactaremos espontáneamente por redes o WhatsApp.",2022-06-13 13:28:37,es,,0.0,0.0,@JUMA9610,Banco Ciudad,Escribinos por Mensaje Directo y empezá la conversación con nuestro asistente virtual. Podés hablar con una persona del equipo de L a V de 8 a 20 horas.,8026.0,1172.0,12.0,81494.0,184.0,True,,
@BancoCiudad,"@JUMA9610 @MODO_Arg @mercadopago Hola, escribinos por privado y empezá la consulta con nuestro asistente virtual. Si necesitás, podés pedir hablar con una persona de nuestro equipo.
Recordá que nunca te pediremos tus claves ni te contactaremos espontáneamente por redes o WhatsApp.",2022-06-13 12:45:57,es,,0.0,0.0,@JUMA9610,Banco Ciudad,Escribinos por Mensaje Directo y empezá la conversación con nuestro asistente virtual. Podés hablar con una persona del equipo de L a V de 8 a 20 horas.,8026.0,1172.0,12.0,81494.0,184.0,True,,
